Districts Search Results,,,,,,,,,,,,,,,,
Mon May 09 2022 at 3:16:26 PM,,,,,,,,,,,,,,,,
"130 results exported. Export results are limited to 11,000 records.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NCES District ID,State District ID,District Name,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students,Teachers,Schools,Locale Code,Locale,Student Teacher Ratio,Type
5305130,WA-31103,Monroe School District,Snohomish County,200 E FREMONT ST,MONROE,WASHINGTON,98272,2336,(360)804-2500,6825,322.25,14,21,21-Suburb: Large,21.18,1-Regular local school district that is NOT a component of a supervisory union
5305160,WA-14066,Montesano School District,Grays Harbor County,502 E. Spruce Ave,MONTESANO,WASHINGTON,98563,    ,(360)249-3942,1467,79.67,3,32,32-Town: Distant,18.41,1-Regular local school district that is NOT a component of a supervisory union
5900047,BI-D10P16,Muckleshoot Tribal School,King County,15209 SE 376th St,Auburn,BUREAU OF INDIAN EDUCATION,98092,    ,(253)931-6709,447,81,1,41,41-Rural: Fringe,5.52,1-Regular local school district that is NOT a component of a supervisory union
5305430,WA-31006,Mukilteo School District,Snohomish County,9401 SHARON DR,EVERETT,WASHINGTON,98204,2699,(425)356-1274,16070,935.66,24,21,21-Suburb: Large,17.18,1-Regular local school district that is NOT a component of a supervisory union
5305460,WA-39003,Naches Valley School District,Yakima County,24 SHAFER AVE,NACHES,WASHINGTON,98937,9744,(509)653-2220,1293,75.71,4,41,41-Rural: Fringe,17.08,1-Regular local school district that is NOT a component of a supervisory union
5300004,WA-04801,North Central Educational Service District 171,Chelan County,430 Olds Station Rd,WENATCHEE,WASHINGTON,98801,3050,(509)665-2610,0,0,0,13,13-City: Small,-1,4-Regional Education Service Agency (RESA)
5305760,WA-18400,North Kitsap School District,Kitsap County,18360 Caldart Ave NE,Poulsbo,WASHINGTON,98370,    ,(360)396-3000,6070,305.08,14,22,22-Suburb: Mid-size,19.9,1-Regular local school district that is NOT a component of a supervisory union
5305790,WA-23403,North Mason School District,Mason County,250 East Campus Drive,Belfair,WASHINGTON,98528,    ,(360)277-2300,2394,136.5,7,41,41-Rural: Fringe,17.54,1-Regular local school district that is NOT a component of a supervisory union
5305850,WA-34003,North Thurston Public Schools,Thurston County,305 COLLEGE ST NE,LACEY,WASHINGTON,98516,5390,(360)412-4400,15634,829.79,22,13,13-City: Small,18.84,1-Regular local school district that is NOT a component of a supervisory union
5305910,WA-17417,Northshore School District,Snohomish County,3330 Monte Villa Parkway,BOTHELL,WASHINGTON,98021,8972,(425)408-6000,23915,1275.3,37,21,21-Suburb: Large,18.75,1-Regular local school district that is NOT a component of a supervisory union
